INSTRUMENT,SYMBOL,Status,Date of Update
FUTSTK,LAURUSLABS,0,0
FUTSTK,LICHSGFIN,0,0
FUTSTK,LICHSGFIN,0,0
FUTSTK,LICHSGFIN,0,0
FUTSTK,LT,0,0
FUTSTK,LT,0,0
FUTSTK,LT,0,0
FUTSTK,LTF,0,0
FUTSTK,LTF,0,0
FUTSTK,LTF,0,0
FUTSTK,LTIM,0,0
FUTSTK,LTIM,0,0
FUTSTK,LTIM,0,0
FUTSTK,LTTS,0,0
FUTSTK,LTTS,0,0
FUTSTK,LTTS,0,0
FUTSTK,LUPIN,0,0
FUTSTK,LUPIN,0,0
FUTSTK,LUPIN,0,0
FUTSTK,M&M,0,0
FUTSTK,M&M,0,0
FUTSTK,M&M,0,0
FUTSTK,M&MFIN,0,0
FUTSTK,M&MFIN,0,0
FUTSTK,M&MFIN,0,0
FUTSTK,MANAPPURAM,0,0
FUTSTK,MANAPPURAM,0,0
FUTSTK,MANAPPURAM,0,0
FUTSTK,MARICO,0,0
FUTSTK,MARICO,0,0
FUTSTK,MARICO,0,0
FUTSTK,MARUTI,0,0
FUTSTK,MARUTI,0,0
FUTSTK,MARUTI,0,0
FUTSTK,MCDOWELL-N,0,0
FUTSTK,MCDOWELL-N,0,0
FUTSTK,MCDOWELL-N,0,0
FUTSTK,MCX,0,0
FUTSTK,MCX,0,0
FUTSTK,MCX,0,0
FUTSTK,METROPOLIS,0,0
FUTSTK,METROPOLIS,0,0
FUTSTK,METROPOLIS,0,0
FUTSTK,MFSL,0,0
FUTSTK,MFSL,0,0
FUTSTK,MFSL,0,0
FUTSTK,MGL,0,0
FUTSTK,MGL,0,0
FUTSTK,MGL,0,0
FUTSTK,MOTHERSON,0,0
FUTSTK,MOTHERSON,0,0
FUTSTK,MOTHERSON,0,0
FUTSTK,MPHASIS,0,0
FUTSTK,MPHASIS,0,0
FUTSTK,MPHASIS,0,0
FUTSTK,MRF,0,0
FUTSTK,MRF,0,0
FUTSTK,MRF,0,0
FUTSTK,MUTHOOTFIN,0,0
FUTSTK,MUTHOOTFIN,0,0
FUTSTK,MUTHOOTFIN,0,0
FUTSTK,NATIONALUM,0,0
FUTSTK,NATIONALUM,0,0
FUTSTK,NATIONALUM,0,0
FUTSTK,NAUKRI,0,0
FUTSTK,NAUKRI,0,0
FUTSTK,NAUKRI,0,0
FUTSTK,NAVINFLUOR,0,0
FUTSTK,NAVINFLUOR,0,0
FUTSTK,NAVINFLUOR,0,0
FUTSTK,NESTLEIND,0,0
FUTSTK,NESTLEIND,0,0
FUTSTK,NESTLEIND,0,0
FUTSTK,NMDC,0,0
FUTSTK,NMDC,0,0
FUTSTK,NMDC,0,0
FUTSTK,NTPC,0,0
FUTSTK,NTPC,0,0
FUTSTK,NTPC,0,0
FUTSTK,OBEROIRLTY,0,0
FUTSTK,OBEROIRLTY,0,0
FUTSTK,OBEROIRLTY,0,0
FUTSTK,OFSS,0,0
FUTSTK,OFSS,0,0
FUTSTK,OFSS,0,0
FUTSTK,ONGC,0,0
FUTSTK,ONGC,0,0
FUTSTK,ONGC,0,0
FUTSTK,PAGEIND,0,0
FUTSTK,PAGEIND,0,0
FUTSTK,PAGEIND,0,0
FUTSTK,PEL,0,0
FUTSTK,PEL,0,0
FUTSTK,PEL,0,0
FUTSTK,PERSISTENT,0,0
FUTSTK,PERSISTENT,0,0
FUTSTK,PERSISTENT,0,0
FUTSTK,PETRONET,0,0
FUTSTK,PETRONET,0,0
FUTSTK,PETRONET,0,0
FUTSTK,PFC,0,0
FUTSTK,PFC,0,0
FUTSTK,PFC,0,0
FUTSTK,PIDILITIND,0,0
FUTSTK,PIDILITIND,0,0
FUTSTK,PIDILITIND,0,0
FUTSTK,PIIND,0,0
FUTSTK,PIIND,0,0
FUTSTK,PIIND,0,0
FUTSTK,PNB,0,0
FUTSTK,PNB,0,0
