INSTRUMENT,SYMBOL,EXPIRY_DT,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
FUTSTK,BIOCON,26-Sep-24,342.0,355.55,341.8,353.1,353.0,341.35,348.0,353.1,987500,57500,182,159714125.0,145
FUTSTK,BOSCHLTD,25-Jul-24,34182.4,34569.9,33911.55,34169.95,34116.5,34107.15,34115.95,34169.95,37025,-50225,3954,3387285947.5,3494
FUTSTK,BOSCHLTD,29-Aug-24,33600.0,34139.0,33313.35,34020.65,33993.5,33553.55,34115.95,34020.65,276225,52675,4509,3803921963.75,3922
FUTSTK,BOSCHLTD,26-Sep-24,33521.5,33900.75,33293.25,33825.2,33900.75,33433.35,34115.95,33825.2,2825,50,15,12624355.0,15
FUTSTK,BPCL,25-Jul-24,305.1,316.2,305.0,315.3,315.8,305.65,314.95,315.3,14734800,-18684000,16046,8972682390.0,10784
FUTSTK,BPCL,29-Aug-24,303.0,318.35,301.1,317.4,317.5,307.6,314.95,317.4,56217600,20370600,23266,13114817640.0,17268
FUTSTK,BPCL,26-Sep-24,312.05,320.35,309.5,319.5,320.1,309.95,314.95,319.5,599400,-9000,270,154010520.0,248
FUTSTK,BRITANNIA,25-Jul-24,5969.0,5969.0,5809.5,5828.55,5831.95,5941.55,5829.4,5828.55,495000,-551000,4553,5326010580.0,3941
FUTSTK,BRITANNIA,29-Aug-24,5893.35,5893.4,5775.0,5799.0,5788.3,5909.45,5829.4,5799.0,2169600,659200,5788,6732632120.0,5079
FUTSTK,BRITANNIA,26-Sep-24,5905.0,5905.0,5822.85,5838.0,5830.0,5949.45,5829.4,5838.0,19600,-600,48,56140270.0,45
FUTSTK,BSOFT,25-Jul-24,726.3,727.55,709.9,718.6,717.5,724.6,718.0,718.6,2893000,-2945000,5176,3715977700.0,4336
FUTSTK,BSOFT,29-Aug-24,728.4,732.25,714.35,723.1,721.95,729.4,718.0,723.1,7619000,2468000,6824,4929191400.0,5597
FUTSTK,BSOFT,26-Sep-24,736.0,736.0,721.3,728.15,727.0,734.0,718.0,728.15,156000,20000,58,42216000.0,55
FUTSTK,CANBK,25-Jul-24,113.08,113.93,111.58,112.6,112.8,113.08,112.46,112.6,84766500,-80439750,16010,12157624867.5,10167
FUTSTK,CANBK,29-Aug-24,113.74,114.95,112.27,113.33,113.51,113.74,112.46,113.33,200934000,83200500,17500,13376344455.0,11383
FUTSTK,CANBK,26-Sep-24,115.14,115.38,113.15,114.23,114.39,114.47,112.46,114.23,3510000,803250,203,156297465.0,186
FUTSTK,CANFINHOME,25-Jul-24,830.45,851.0,824.0,848.1,849.25,835.95,850.25,848.1,1248975,-1584375,3846,3148986018.75,3321
FUTSTK,CANFINHOME,29-Aug-24,820.55,844.85,813.3,842.7,843.15,823.95,850.25,842.7,5360550,820950,4244,3449840745.0,3571
FUTSTK,CANFINHOME,26-Sep-24,829.7,845.7,829.7,843.45,844.0,826.0,850.25,843.45,79950,7800,42,34499058.75,39
FUTSTK,CHAMBLFERT,25-Jul-24,488.55,500.45,486.45,495.15,496.35,488.4,494.05,495.15,3302200,-2437700,3577,3348383300.0,2839
FUTSTK,CHAMBLFERT,29-Aug-24,485.0,500.35,481.0,495.15,495.7,480.65,494.05,495.15,6091400,1687200,3647,3409029970.0,2906
FUTSTK,CHAMBLFERT,26-Sep-24,491.35,499.3,489.0,495.7,496.2,496.45,494.05,495.7,172900,43700,51,47973860.0,41
FUTSTK,CHOLAFIN,25-Jul-24,1402.0,1419.75,1383.6,1391.15,1396.1,1394.8,1388.9,1391.15,1348125,-2371875,5069,4433547718.75,4548
FUTSTK,CHOLAFIN,29-Aug-24,1412.95,1428.45,1392.5,1399.2,1403.1,1403.4,1388.9,1399.2,7008125,2151250,5569,4899985906.25,5009
FUTSTK,CHOLAFIN,26-Sep-24,1435.0,1435.0,1402.0,1406.25,1408.1,1412.4,1388.9,1406.25,23750,1250,8,7050687.5,8
FUTSTK,CIPLA,25-Jul-24,1493.95,1510.4,1485.0,1503.6,1505.85,1498.65,1503.5,1503.6,1667250,-1852500,5307,5179154792.5,4875
FUTSTK,CIPLA,29-Aug-24,1490.95,1508.8,1483.3,1501.45,1502.65,1495.85,1503.5,1501.45,9163700,1884350,6583,6413957842.5,5944
FUTSTK,CIPLA,26-Sep-24,1497.9,1518.4,1497.0,1511.45,1512.35,1504.55,1503.5,1511.45,59800,7800,35,34338005.0,33
FUTSTK,COALINDIA,25-Jul-24,484.75,499.9,484.7,494.0,494.2,486.9,493.8,494.0,8551200,-14322000,10269,10678847760.0,7142
FUTSTK,COALINDIA,29-Aug-24,483.35,498.4,483.3,492.8,493.0,485.3,493.8,492.8,43249500,14340900,12802,13270873035.0,9404
FUTSTK,COALINDIA,26-Sep-24,490.0,501.25,487.25,495.95,495.9,488.9,493.8,495.95,529200,46200,171,178309320.0,158
FUTSTK,COFORGE,25-Jul-24,6184.25,6435.95,6150.3,6336.7,6333.35,6194.15,6334.15,6336.7,674400,-526650,10227,9741503317.5,8651
FUTSTK,COFORGE,29-Aug-24,6100.05,6381.9,6050.1,6326.7,6325.0,6103.1,6334.15,6326.7,1742250,253650,11871,11218646812.5,9803
FUTSTK,COFORGE,26-Sep-24,6039.8,6345.15,6039.8,6292.45,6300.55,6074.6,6334.15,6292.45,21600,-150,143,134026710.0,139
FUTSTK,COLPAL,25-Jul-24,3179.0,3179.0,3100.65,3146.1,3137.25,3167.3,3141.55,3146.1,721000,-1024450,4028,4431535920.0,3224
FUTSTK,COLPAL,29-Aug-24,3175.15,3196.15,3118.35,3165.2,3159.05,3187.75,3141.55,3165.2,2983400,823200,4811,5324582935.0,3924
FUTSTK,COLPAL,26-Sep-24,0.0,0.0,0.0,3200.0,3200.0,3200.0,3141.55,3182.0,9100,0,0,0.0,0
FUTSTK,CONCOR,25-Jul-24,1025.0,1037.0,1018.7,1023.7,1024.5,1028.75,1024.3,1023.7,6326000,-3429000,5679,5832225000.0,4985
FUTSTK,CONCOR,29-Aug-24,1028.9,1039.45,1020.2,1026.2,1027.2,1029.65,1024.3,1026.2,13366000,3497000,7444,7658793550.0,6573
FUTSTK,CONCOR,26-Sep-24,1033.0,1044.05,1027.8,1033.3,1032.0,1035.65,1024.3,1033.3,330000,40000,91,94164300.0,87
FUTSTK,COROMANDEL,25-Jul-24,1591.55,1631.6,1586.25,1625.55,1625.5,1584.05,1630.85,1625.55,954800,-732200,2756,3109116360.0,2438
FUTSTK,COROMANDEL,29-Aug-24,1564.8,1611.0,1558.05,1606.85,1607.0,1553.85,1630.85,1606.85,3091900,700700,2919,3244571715.0,2565
FUTSTK,COROMANDEL,26-Sep-24,1557.0,1590.0,1552.5,1590.0,1590.0,1541.8,1630.85,1651.85,25900,-700,27,29674225.0,27
FUTSTK,CROMPTON,25-Jul-24,417.7,444.75,417.7,443.3,442.0,430.65,443.0,443.3,2559600,-7471800,6723,5277340620.0,5528
FUTSTK,CROMPTON,29-Aug-24,426.8,447.85,426.8,446.2,446.0,433.55,443.0,446.2,22059000,6856200,8029,6355888110.0,6778
FUTSTK,CROMPTON,26-Sep-24,438.5,450.0,438.0,449.05,448.95,436.05,443.0,449.05,86400,14400,51,40868190.0,43
FUTSTK,CUB,25-Jul-24,157.32,162.55,156.35,161.06,160.74,156.92,160.7,161.06,5300000,-4530000,2065,1647683150.0,1808
FUTSTK,CUB,29-Aug-24,156.58,161.95,155.98,160.55,160.2,156.31,160.7,160.55,22335000,4500000,2831,2250905850.0,2565
FUTSTK,CUB,26-Sep-24,157.52,162.49,157.52,161.8,162.14,157.45,160.7,161.8,500000,25000,48,38490900.0,46
FUTSTK,CUMMINSIND,25-Jul-24,3599.75,3609.95,3503.8,3547.1,3565.95,3577.6,3541.35,3547.1,960000,-1671600,6910,7333534695.0,4502
FUTSTK,CUMMINSIND,29-Aug-24,3609.0,3642.9,3525.0,3568.9,3585.6,3600.6,3541.35,3568.9,4353300,1656300,9127,9745223115.0,6684
FUTSTK,CUMMINSIND,26-Sep-24,3645.0,3645.0,3547.45,3591.75,3601.0,3622.0,3541.35,3591.75,38400,4500,62,66520005.0,58
FUTSTK,DABUR,25-Jul-24,642.3,642.3,616.5,633.05,631.05,651.55,634.15,633.05,2463750,-4932500,8720,6855571687.5,7361
FUTSTK,DABUR,29-Aug-24,650.05,650.05,620.3,637.05,635.05,655.95,634.15,637.05,13900000,4391250,11938,9437511625.0,10069
FUTSTK,DABUR,26-Sep-24,650.0,653.0,625.0,641.2,641.15,659.55,634.15,641.2,98750,28750,89,70743687.5,83
