Time,CE_OI,CE_CHNG_IN_OI,CE_Volume,CE_IV,CE_LTP,CE_CHNG,CE_BID_QTY,CE_BID_PRICE,CE_ASK_PRICE,CE_ASK_QTY,strikePrice,PE_CHNG_IN_OI,PE_Volume,PE_IV,PE_LTP,PE_CHNG,PE_BID_QTY,PE_BID_PRICE,PE_ASK_PRICE,PE_ASK_QTY,PE_OI,Nifty Current Price,COI_by_Volume_Call,COI_by_Volume_Put
09:23:12 AM,15901,5385,33636,10.26,3.85,-0.6499999999999999,11600,3.8,3.85,26600,19950,42,68,17.99,500.15,28.399999999999977,100,494.15,495.45,700,89,19452.85,8.004816268283982,30.88235294117647
09:23:12 AM,90459,7534,60299,10.75,3.1,-0.4499999999999997,73150,3.05,3.1,61650,20000,44,291,19.21,552.4,34.25,750,552.3,553.55,450,1174,19454.8,6.247201446126802,7.560137457044673
09:23:12 AM,11297,-1417,19255,11.23,2.45,-0.2999999999999998,61950,2.4,2.45,11200,20050,0,12,18.52,592.5,-73.39999999999998,150,592.2,601.65,50,8,19452.85,-3.679563749675409,0.0
09:23:12 AM,37958,819,44422,11.64,2.0,-0.25,120950,1.95,2.0,190050,20100,0,294,22.09,652.75,32.049999999999955,100,650.15,651.6,550,28,19454.8,0.921840529467381,0.0
09:23:12 AM,10102,1152,7576,12.37,1.85,-0.0999999999999998,32350,1.85,1.9,38250,20150,0,0,0.0,0.0,0.0,150,685.25,717.35,150,14,19452.85,7.602956705385427,
09:23:12 AM,28255,1634,16692,12.94,1.7,0.0999999999999998,162500,1.65,1.7,124550,20200,0,108,24.01,752.45,31.950000000000045,100,748.6,750.4,500,15,19452.85,4.894560268392044,0.0
09:23:12 AM,3673,827,6716,13.64,1.6,0.1,35600,1.55,1.6,29050,20250,0,0,0.0,0.0,0.0,150,777.75,817.1,150,1,19454.8,6.156938653960691,
09:23:12 AM,18339,2949,15061,14.21,1.5,0.1499999999999999,133650,1.45,1.5,151850,20300,0,0,0.0,0.0,0.0,150,848.0,867.0,600,0,19454.8,9.79018657459664,
09:23:12 AM,3247,995,4679,14.77,1.45,0.1499999999999999,23850,1.4,1.45,49100,20350,0,0,0.0,0.0,0.0,4750,877.35,917.05,5050,2,19452.85,10.632613806368882,
09:23:12 AM,21009,2016,9803,15.53,1.45,0.1499999999999999,59400,1.4,1.45,95800,20400,0,8,28.63,950.55,50.54999999999996,250,935.6,960.1,150,1,19454.8,10.282566561256758,0.0
09:23:12 AM,2577,845,2095,16.2,1.4,0.1999999999999999,19650,1.4,1.45,25800,20450,0,0,0.0,0.0,0.0,100,990.15,1003.1,250,4,19452.85,20.16706443914081,
09:23:12 AM,39118,2840,25386,16.87,1.4,0.1499999999999999,403400,1.35,1.4,292600,20500,0,54,28.25,1039.85,28.84999999999991,350,1039.65,1042.2,350,23,19454.8,5.5936342866146695,0.0
09:23:12 AM,1320,211,1946,17.49,1.3,0.1,18700,1.25,1.3,16650,20550,0,0,0.0,0.0,0.0,150,1091.4,1102.35,300,2,19452.85,5.421377183967112,
09:23:12 AM,8542,369,6556,18.1,1.3,0.1500000000000001,40350,1.3,1.35,44600,20600,0,0,0.0,0.0,0.0,1500,1126.8,1166.8,300,2,19452.85,2.814215985356925,
09:23:12 AM,756,39,741,18.79,1.25,0.1499999999999999,15000,1.2,1.25,15000,20650,0,0,0.0,0.0,0.0,1500,1176.7,1216.75,150,0,19452.85,2.631578947368421,
