Datetime,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
30-01: 15:16,116.0,1950.0,120050.0,0.0,1.3499999999999943,0,479.15,50.0,26950.0,50,4.25,LB,0.0,0.0,0.0,-28750,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,31600,2850
30-01: 15:18,108.85,2500.0,117150.0,-2900.0,-7.150000000000006,LC,482.45,50.0,27350.0,400,3.300000000000012,LB,-0.0,0.0,0.0,-28750,0.0,0.0,-2900.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,31600,2850
30-01: 15:21,114.0,1750.0,114800.0,-2350.0,5.150000000000006,SC,479.3,300.0,27350.0,0,-3.1499999999999773,0,2350.0,0.0,2350.0,-26400,0.0,0.0,0.0,-2350.0,0.0,0.0,0.0,0.0,-2350.0,0.0,29250,2850
30-01: 15:24,112.4,1150.0,115300.0,500.0,-1.5999999999999943,SB,472.45,0.0,27350.0,0,-6.850000000000023,0,-500.0,0.0,-500.0,-26900,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,29750,2850
30-01: 15:25,111.45,1700.0,115300.0,0.0,-0.9500000000000028,0,476.55,50.0,27600.0,250,4.100000000000023,LB,0.0,0.0,0.0,-26900,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,29750,2850
30-01: 15:27,112.85,1250.0,115900.0,600.0,1.3999999999999917,LB,481.1,100.0,27650.0,50,4.550000000000011,LB,0.0,0.0,0.0,-26900,600.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,29750,2850
31-01: 09:15,100.8,3450.0,115850.0,-50.0,-12.049999999999995,LC,505.2,0.0,0.0,-27650,24.09999999999997,SC,-0.0,-27650.0,-27650.0,-54550,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,-27650.0,0.0,-27650.0,29750,-24800
31-01: 09:16,101.2,8500.0,115850.0,0.0,0.4000000000000057,0,513.2,1650.0,27550.0,27550,8.000000000000057,LB,0.0,0.0,0.0,-54550,0.0,0.0,0.0,0.0,27550.0,0.0,0.0,0.0,0.0,0.0,29750,-24800
31-01: 09:17,99.5,5150.0,118800.0,2950.0,-1.7000000000000028,SB,513.2,0.0,27550.0,0,0.0,0,-2950.0,0.0,-2950.0,-57500,0.0,2950.0,0.0,0.0,0.0,0.0,0.0,0.0,2950.0,0.0,32700,-24800
31-01: 09:18,102.0,6150.0,118800.0,0.0,2.5,0,505.0,100.0,27500.0,-50,-8.200000000000045,LC,0.0,-0.0,0.0,-57500,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,32700,-24800
31-01: 09:20,104.1,4400.0,118950.0,150.0,2.0999999999999943,LB,504.05,50.0,27550.0,50,-0.9499999999999886,SB,0.0,50.0,50.0,-57450,150.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,32700,-24750
31-01: 09:23,103.2,11450.0,115800.0,-3150.0,-0.8999999999999915,LC,517.45,0.0,27550.0,0,13.400000000000034,0,-0.0,0.0,0.0,-57450,0.0,0.0,-3150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32700,-24750
31-01: 09:24,105.85,1500.0,115800.0,0.0,2.6499999999999915,0,500.5,150.0,27650.0,100,-16.950000000000045,SB,0.0,100.0,100.0,-57350,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,32700,-24650
31-01: 09:26,107.45,2050.0,115300.0,-500.0,1.6000000000000083,SC,500.5,0.0,27650.0,0,0.0,0,500.0,0.0,500.0,-56850,0.0,0.0,0.0,-500.0,0.0,0.0,0.0,0.0,-500.0,0.0,32200,-24650
31-01: 09:29,119.05,3600.0,110900.0,-4400.0,11.599999999999994,SC,476.95,0.0,27650.0,0,-23.55000000000001,0,4400.0,0.0,4400.0,-52450,0.0,0.0,0.0,-4400.0,0.0,0.0,0.0,0.0,-4400.0,0.0,27800,-24650
31-01: 09:32,112.4,2750.0,102300.0,-8600.0,-6.649999999999992,LC,491.05,100.0,27650.0,0,14.100000000000025,0,-0.0,0.0,0.0,-52450,0.0,0.0,-8600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27800,-24650
31-01: 09:34,124.75,5950.0,102300.0,0.0,12.349999999999994,0,459.75,50.0,27550.0,-100,-31.30000000000001,LC,0.0,-0.0,0.0,-52450,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,27800,-24650
31-01: 09:35,125.0,7050.0,103000.0,700.0,0.25,LB,454.15,100.0,27500.0,-50,-5.600000000000023,LC,0.0,-0.0,0.0,-52450,700.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,27800,-24650
31-01: 09:38,122.9,2000.0,99150.0,-3850.0,-2.0999999999999943,LC,441.6,0.0,27500.0,0,-12.549999999999956,0,-0.0,0.0,0.0,-52450,0.0,0.0,-3850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27800,-24650
31-01: 09:39,124.45,2550.0,99150.0,0.0,1.5499999999999972,0,451.05,100.0,27450.0,-50,9.449999999999989,SC,0.0,-50.0,-50.0,-52500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,-50.0,27800,-24700
31-01: 09:41,126.45,3350.0,106750.0,7600.0,2.0,LB,449.05,50.0,27450.0,0,-2.0,0,0.0,0.0,0.0,-52500,7600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27800,-24700
31-01: 09:44,130.55,4200.0,104850.0,-1900.0,4.1000000000000085,SC,426.85,0.0,27450.0,0,-22.19999999999999,0,1900.0,0.0,1900.0,-50600,0.0,0.0,0.0,-1900.0,0.0,0.0,0.0,0.0,-1900.0,0.0,25900,-24700
31-01: 09:45,128.0,4050.0,104850.0,0.0,-2.550000000000012,0,423.25,100.0,27550.0,100,-3.6000000000000227,SB,0.0,100.0,100.0,-50500,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,25900,-24600
31-01: 09:47,127.85,1600.0,105900.0,1050.0,-0.1500000000000056,SB,430.25,400.0,27550.0,0,7.0,0,-1050.0,0.0,-1050.0,-51550,0.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,26950,-24600
31-01: 09:50,125.95,550.0,105000.0,-900.0,-1.8999999999999917,LC,435.55,0.0,27550.0,0,5.300000000000011,0,-0.0,0.0,0.0,-51550,0.0,0.0,-900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26950,-24600
31-01: 09:53,122.2,1200.0,104650.0,-350.0,-3.75,LC,435.55,0.0,27550.0,0,0.0,0,-0.0,0.0,0.0,-51550,0.0,0.0,-350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26950,-24600
31-01: 09:56,125.7,1800.0,103950.0,-700.0,3.5,SC,435.55,0.0,27550.0,0,0.0,0,700.0,0.0,700.0,-50850,0.0,0.0,0.0,-700.0,0.0,0.0,0.0,0.0,-700.0,0.0,26250,-24600
31-01: 09:58,123.45,1350.0,103950.0,0.0,-2.25,0,438.05,900.0,27950.0,400,2.5,LB,0.0,0.0,0.0,-50850,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,26250,-24600
31-01: 09:59,120.7,1700.0,104850.0,900.0,-2.75,SB,438.05,0.0,27950.0,0,0.0,0,-900.0,0.0,-900.0,-51750,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,27150,-24600
31-01: 10:00,115.0,1850.0,104850.0,0.0,-5.700000000000003,0,453.2,150.0,28150.0,200,15.149999999999975,LB,0.0,0.0,0.0,-51750,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,27150,-24600
31-01: 10:02,113.55,450.0,106300.0,1450.0,-1.4500000000000028,SB,460.8,0.0,28150.0,0,7.600000000000023,0,-1450.0,0.0,-1450.0,-53200,0.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,1450.0,0.0,28600,-24600
31-01: 10:03,119.0,400.0,106300.0,0.0,5.450000000000003,0,441.6,50.0,28250.0,100,-19.19999999999999,SB,0.0,100.0,100.0,-53100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,28600,-24500
31-01: 10:05,122.3,650.0,106100.0,-200.0,3.299999999999997,SC,431.75,150.0,28600.0,350,-9.850000000000025,SB,200.0,350.0,550.0,-52550,0.0,0.0,0.0,-200.0,0.0,350.0,0.0,0.0,-200.0,350.0,28400,-24150
31-01: 10:08,130.0,1100.0,105450.0,-650.0,7.700000000000003,SC,418.8,250.0,28600.0,0,-12.949999999999989,0,650.0,0.0,650.0,-51900,0.0,0.0,0.0,-650.0,0.0,0.0,0.0,0.0,-650.0,0.0,27750,-24150
31-01: 10:09,126.8,5350.0,105450.0,0.0,-3.200000000000003,0,415.5,50.0,29900.0,1300,-3.300000000000012,SB,0.0,1300.0,1300.0,-50600,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,1300.0,27750,-22850
31-01: 10:11,125.65,1600.0,106200.0,750.0,-1.1499999999999917,SB,420.25,250.0,29900.0,0,4.75,0,-750.0,0.0,-750.0,-51350,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,28500,-22850
31-01: 10:14,130.1,1050.0,106250.0,50.0,4.449999999999989,LB,420.25,0.0,29900.0,0,0.0,0,0.0,0.0,0.0,-51350,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28500,-22850
31-01: 10:15,132.0,2800.0,106250.0,0.0,1.9000000000000057,0,415.85,50.0,29600.0,-300,-4.399999999999977,LC,0.0,-0.0,0.0,-51350,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0,28500,-22850
31-01: 10:17,133.0,1600.0,104550.0,-1700.0,1.0,SC,415.85,0.0,29600.0,0,0.0,0,1700.0,0.0,1700.0,-49650,0.0,0.0,0.0,-1700.0,0.0,0.0,0.0,0.0,-1700.0,0.0,26800,-22850
31-01: 10:20,129.55,1250.0,104350.0,-200.0,-3.4499999999999886,LC,409.85,300.0,29550.0,-50,-6.0,LC,-0.0,-0.0,-0.0,-49650,0.0,0.0,-200.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,26800,-22850
31-01: 10:24,131.0,300.0,105250.0,900.0,1.4499999999999886,LB,412.65,0.0,29550.0,0,2.7999999999999545,0,0.0,0.0,0.0,-49650,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26800,-22850
31-01: 10:26,129.2,850.0,106450.0,1200.0,-1.8000000000000114,SB,412.65,0.0,29550.0,0,0.0,0,-1200.0,0.0,-1200.0,-50850,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,28000,-22850
