Date,Time,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
2024-02-09,12:10,127.25,116050,1268650,-10300,4.950000000000003,SC,216.1,22750,611000,-1200,-8.700000000000017,LC,10300.0,-0.0,10300.0,-299250,0.0,0.0,0.0,-10300.0,0.0,0.0,-1200.0,0.0,-10300.0,0.0,374800,75550
2024-02-09,12:13,119.8,67500,1269200,550,-7.450000000000003,SB,225.2,21300,609200,-1800,9.099999999999994,SC,-550.0,-1800.0,-2350.0,-301600,0.0,550.0,0.0,0.0,0.0,0.0,0.0,-1800.0,550.0,-1800.0,375350,73750
2024-02-09,12:16,117.65,34450,1271950,2750,-2.1499999999999915,SB,229.5,7850,611100,1900,4.300000000000011,LB,-2750.0,0.0,-2750.0,-304350,0.0,2750.0,0.0,0.0,1900.0,0.0,0.0,0.0,2750.0,0.0,378100,73750
2024-02-09,12:19,125.55,78250,1278300,6350,7.899999999999991,LB,218.05,16000,610800,-300,-11.449999999999989,LC,0.0,-0.0,0.0,-304350,6350.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0,378100,73750
2024-02-09,12:22,126.35,33950,1263450,-14850,0.7999999999999972,SC,215.75,11100,620200,9400,-2.300000000000012,SB,14850.0,9400.0,24250.0,-280100,0.0,0.0,0.0,-14850.0,0.0,9400.0,0.0,0.0,-14850.0,9400.0,363250,83150
2024-02-09,12:25,126.65,46850,1250850,-12600,0.3000000000000113,SC,215.65,11650,627400,7200,-0.0999999999999943,SB,12600.0,7200.0,19800.0,-260300,0.0,0.0,0.0,-12600.0,0.0,7200.0,0.0,0.0,-12600.0,7200.0,350650,90350
2024-02-09,12:28,124.25,38300,1255950,5100,-2.4000000000000057,SB,217.0,7650,629500,2100,1.3499999999999943,LB,-5100.0,0.0,-5100.0,-265400,0.0,5100.0,0.0,0.0,2100.0,0.0,0.0,0.0,5100.0,0.0,355750,90350
2024-02-09,12:31,123.7,177050,1260950,5000,-0.5499999999999972,SB,214.65,37600,639800,10300,-2.3499999999999943,SB,-5000.0,10300.0,5300.0,-260100,0.0,5000.0,0.0,0.0,0.0,10300.0,0.0,0.0,5000.0,10300.0,360750,100650
2024-02-09,12:34,128.5,103800,1248900,-12050,4.799999999999997,SC,205.1,23900,640600,800,-9.550000000000011,SB,12050.0,800.0,12850.0,-247250,0.0,0.0,0.0,-12050.0,0.0,800.0,0.0,0.0,-12050.0,800.0,348700,101450
2024-02-09,12:37,122.55,56750,1228600,-20300,-5.950000000000003,LC,213.55,19100,641400,800,8.450000000000017,LB,-0.0,0.0,0.0,-247250,0.0,0.0,-20300.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,348700,101450
