Date,Time,open,high,low,close,EMA 9,Recorded EMA9,Delta,EMA 21,Recorded EMA 21,DELTA,EMA 50,Recorded EMA 50,DELTA,EMA 200,Recorded EMA 200,DELTA,,0.2
01-08-2023,14:58,347.1,347.1,347.1,347.1,347.3706922,,,348.207927,,,348.2764124,,,344.7287969,,,,
01-08-2023,14:59,347.1,347.1,347.1,347.1,347.3165538,,,348.1072065,,,348.2302782,,,344.7523904,,,,
01-08-2023,15:00,347.1,347.1,343.75,343.75,346.603243,,,347.7110972,,,348.0545796,,,344.7424166,,,,
01-08-2023,15:01,343.75,345.25,332,332,343.6825944,,,346.2828171,,,347.4249832,,,344.6156296,,,,
01-08-2023,15:02,332,332,332,332,341.3460755,,,344.9843804,,,346.8200771,,,344.490104,,,,
01-08-2023,15:03,332,332,332,332,339.4768604,,,343.8039834,,,346.238893,,,344.3658275,,,,
01-08-2023,15:04,332,332,332,332,337.9814883,,,342.7308951,,,345.6805005,,,344.2427875,,,,
01-08-2023,15:05,332,332,332,332,336.7851907,,,341.7553601,,,345.144006,,,344.1209718,,,,
01-08-2023,15:06,332,332,332,332,335.8281525,,,340.8685101,,,344.6285507,,,344.0003681,,,,
01-08-2023,15:07,332,332,325.45,325.45,333.752522,,,339.4668288,,,343.8764446,,,343.815792,,,,
01-08-2023,15:08,325.45,325.45,325.45,325.45,332.0920176,,,338.1925729,,,343.1538332,,,343.6330523,,,,
01-08-2023,15:09,325.45,329.15,325.45,329.15,331.5036141,,,337.3705216,,,342.6046589,,,343.488946,,,,
01-08-2023,15:10,329.15,329.15,329.15,329.15,331.0328913,,,336.6232022,,,342.077021,,,343.3462734,,,,
01-08-2023,15:11,329.15,329.15,329.15,329.15,330.656313,,,335.9438209,,,341.5700749,,,343.2050205,,,,
01-08-2023,15:12,329.15,329.15,329.15,329.15,330.3550504,,,335.3262014,,,341.0830093,,,343.0651731,,,,
01-08-2023,15:13,329.15,329.15,329.15,329.15,330.1140403,,,334.7647291,,,340.6150444,,,342.9267171,,,,
01-08-2023,15:14,329.15,330.65,329.15,330.65,330.2212323,,,334.3906632,,,340.2242552,,,342.8045638,,,,
01-08-2023,15:15,330.65,330.65,330.65,330.65,330.3069858,,,334.0506033,,,339.8487912,,,342.6836258,,,,
01-08-2023,15:16,330.65,330.65,330.65,330.65,330.3755887,,,333.7414578,,,339.4880514,,,342.5638913,,,,
01-08-2023,15:17,330.65,330.65,330.65,330.65,330.4304709,,,333.4604165,,,339.1414584,,,342.4453481,,,,
01-08-2023,15:18,330.65,330.65,330.65,330.65,330.4743767,,,333.2049243,,,338.8084573,,,342.3279843,,,,
01-08-2023,15:19,330.65,332.15,330.65,332,330.7795014,,,333.0953859,,,338.5414569,,,342.2252209,,,,
01-08-2023,15:20,332,332,331.15,331.15,330.8536011,,,332.9185328,,,338.2515935,,,342.1150224,,,,
01-08-2023,15:21,331.15,331.15,331.15,331.15,330.9128809,,,332.7577572,,,337.9730974,,,342.0059205,,,,
01-08-2023,15:22,331.15,331.15,331.15,331.15,330.9603047,,,332.6115976,,,337.7055228,,,341.8979041,,,,
01-08-2023,15:23,331.15,333.8,331.15,333.8,331.5282438,,,332.7196341,,,337.5523638,,,341.8173299,,,,
01-08-2023,15:24,333.8,333.8,333.8,333.8,331.982595,,,332.8178491,,,337.4052111,,,341.7375575,,,,
01-08-2023,15:25,333.8,333.8,331,331,331.786076,,,332.6525902,,,337.1540244,,,341.6307188,,,,
01-08-2023,15:26,331,331,331,331,331.6288608,,,332.5023549,,,336.9126882,,,341.5249431,,,,
01-08-2023,15:27,331,331,329.95,330.3,331.3630886,,,332.302141,,,336.653365,,,341.413255,,,,
01-08-2023,15:28,330.3,330.3,330.3,330.3,331.1504709,,,332.1201284,,,336.4042114,,,341.3026781,,,,
01-08-2023,15:29,330.3,330.3,328.35,329.55,330.8303767,,,331.8864806,,,336.1354167,,,341.1857389,,,,
02-08-2023,09:15,263,263,263,263,317.2643014,,,325.6240795,,,333.2673382,,,340.4077908,,,,
02-08-2023,09:16,261.2,261.2,261.2,261.2,306.0514411,,,319.7673509,,,330.4411454,,,339.6196733,,,,
02-08-2023,09:17,261.2,267.1,261.2,265.1,297.8611529,,,314.7975967,,,327.8787271,,,338.8782026,,,,
02-08-2023,09:18,265.1,265.95,265.1,265.95,291.4789223,,,310.3569105,,,325.4501301,,,338.1525669,,,,
02-08-2023,09:19,265.95,265.95,265.95,265.95,286.3731378,,,306.3199227,,,323.116773,,,337.4341514,,,,
02-08-2023,09:20,265.95,265.95,256.55,257.5,280.5985103,,,301.8817523,,,320.5435456,,,336.6388066,,,,
02-08-2023,09:21,257.5,260.05,257.5,260.05,276.4888082,,,298.0788696,,,318.1712308,,,335.876748,,,,
02-08-2023,09:22,260.05,262.05,260,262.05,273.6010466,,,294.8035211,,,315.9703806,,,335.1421718,,,,
